ingredient_clean,true_manufacturer_count
DALBAVANCIN HYDROCHLORIDE,5
DALFAMPRIDINE,6
DALTEPARIN SODIUM,1
DANAZOL,2
DANICOPAN,1
DANTROLENE SODIUM,6
DAPAGLIFLOZIN,1
DAPAGLIFLOZIN;METFORMIN HYDROCHLORIDE,1
DAPSONE,17
DAPTOMYCIN,20
DARIDOREXANT HYDROCHLORIDE,1
DARIFENACIN HYDROBROMIDE,6
DAROLUTAMIDE,1
DARUNAVIR,11
DASATINIB,10
DAUNORUBICIN HYDROCHLORIDE,4
DECITABINE,16
DEFERASIROX,18
DEFERIPRONE,4
DEFEROXAMINE MESYLATE,5
DEFIBROTIDE SODIUM,1
DEFLAZACORT,9
DEGARELIX ACETATE,1
DEHYDRATED ALCOHOL,6
DELAFLOXACIN MEGLUMINE,1
DELGOCITINIB,1
DEMECLOCYCLINE HYDROCHLORIDE,2
DEOXYCHOLIC ACID,2
DESFLURANE,2
DESIPRAMINE HYDROCHLORIDE,6
DESLORATADINE,7
DESLORATADINE;PSEUDOEPHEDRINE SULFATE,2
DESMOPRESSIN ACETATE,16
DESOGESTREL;ETHINYL ESTRADIOL,12
DESONIDE,10
DESOXIMETASONE,12
DESVENLAFAXINE,1
DESVENLAFAXINE SUCCINATE,10
DEUCRAVACITINIB,1
DEURUXOLITINIB PHOSPHATE,1
DEUTETRABENAZINE,2
DEUTIVACAFTOR;TEZACAFTOR;VANZACAFTOR CALCIUM,1
DEXAMETHASONE,18
DEXAMETHASONE SODIUM PHOSPHATE,9
DEXAMETHASONE;NEOMYCIN SULFATE;POLYMYXIN B SULFATE,4
DEXAMETHASONE;TOBRAMYCIN,5
DEXCHLORPHENIRAMINE MALEATE,1
DEXLANSOPRAZOLE,5
DEXMEDETOMIDINE HYDROCHLORIDE,27
DEXMETHYLPHENIDATE HYDROCHLORIDE,14
DEXMETHYLPHENIDATE HYDROCHLORIDE;SERDEXMETHYLPHENIDATE CHLORIDE,1
DEXRAZOXANE HYDROCHLORIDE,4
DEXTROAMPHETAMINE,1
DEXTROAMPHETAMINE SULFATE,12
DEXTROMETHORPHAN HYDROBROMIDE;GUAIFENESIN,7
DEXTROMETHORPHAN HYDROBROMIDE;GUAIFENESIN;NAPROXEN SODIUM,1
DEXTROMETHORPHAN HYDROBROMIDE;PROMETHAZINE HYDROCHLORIDE,5
DEXTROMETHORPHAN HYDROBROMIDE;QUINIDINE SULFATE,3
DEXTROMETHORPHAN POLISTIREX,3
DEXTROSE,6
DEXTROSE;MAGNESIUM ACETATE;POTASSIUM ACETATE;SODIUM CHLORIDE,1
"DEXTROSE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;POTASSIUM PHOSPHATE, DIBASIC;SODIUM ACETATE",1
"DEXTROSE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;POTASSIUM PHOSPHATE, MONOBASIC;SODIUM CHLORIDE;SODIUM LACTATE",1
"DEXTROSE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;POTASSIUM PHOSPHATE, MONOBASIC;SODIUM LACTATE;SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",1
DEXTROSE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM ACETATE;SODIUM CHLORIDE;SODIUM GLUCONATE,1
DEXTROSE;POTASSIUM CHLORIDE,4
DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,4
DEXTROSE;SODIUM CHLORIDE,4
DIATRIZOATE MEGLUMINE,1
DIATRIZOATE MEGLUMINE;DIATRIZOATE SODIUM,4
DIAZEPAM,19
DIAZOXIDE,3
DIAZOXIDE CHOLINE,1
DICHLORPHENAMIDE,3
DICLOFENAC EPOLAMINE,1
DICLOFENAC POTASSIUM,16
DICLOFENAC SODIUM,32
DICLOFENAC SODIUM;MISOPROSTOL,5
DICLOXACILLIN SODIUM,2
DICYCLOMINE HYDROCHLORIDE,20
DIENOGEST;ESTRADIOL VALERATE,1
DIETHYLPROPION HYDROCHLORIDE,2
DIFAMILAST,1
